,MatchID,Season,MatchWeek,Date,HomeTeam,AwayTeam,FullTimeHomeTeamGoals,FullTimeAwayTeamGoals,FullTimeResult,Referee,HomeTeamFouls,AwayTeamFouls,HomeTeamYellowCards,AwayTeamYellowCards,HomeTeamRedCards,AwayTeamRedCards
2783,2000-2001_Leicester_Newcastle,2000-2001,12,2000-11-11,Leicester,Newcastle,1,1,D,Rob Styles,7.0,8.0,1.0,1.0,0.0,0.0
2784,2000-2001_Man United_Middlesbrough,2000-2001,12,2000-11-11,Man United,Middlesbrough,2,1,H,Paul Durkin,5.0,10.0,0.0,0.0,0.0,0.0
2785,2000-2001_Sunderland_Southampton,2000-2001,12,2000-11-11,Sunderland,Southampton,2,2,D,Mike Dean,13.0,21.0,1.0,1.0,0.0,0.0
2786,2000-2001_West Ham_Man City,2000-2001,12,2000-11-11,West Ham,Man City,4,1,H,Jeff Winter,7.0,7.0,1.0,1.0,0.0,0.0
2787,2000-2001_Chelsea_Leeds,2000-2001,12,2000-11-12,Chelsea,Leeds,1,1,D,Graham Poll,19.0,24.0,4.0,4.0,0.0,0.0
2788,2000-2001_Liverpool_Coventry,2000-2001,12,2000-11-12,Liverpool,Coventry,4,1,H,Mike Riley,10.0,12.0,1.0,0.0,0.0,0.0
2789,2000-2001_Charlton_Chelsea,2000-2001,13,2000-11-18,Charlton,Chelsea,2,0,H,Paul Durkin,18.0,22.0,2.0,3.0,0.0,0.0
2790,2000-2001_Derby_Bradford,2000-2001,13,2000-11-18,Derby,Bradford,2,0,H,Andy D'Urso,10.0,18.0,3.0,1.0,0.0,0.0
2791,2000-2001_Everton_Arsenal,2000-2001,13,2000-11-18,Everton,Arsenal,2,0,H,Mike Riley,20.0,12.0,3.0,1.0,0.0,0.0
2792,2000-2001_Leeds_West Ham,2000-2001,13,2000-11-18,Leeds,West Ham,0,1,A,Paul Taylor,14.0,19.0,1.0,1.0,0.0,0.0
2793,2000-2001_Man City_Man United,2000-2001,13,2000-11-18,Man City,Man United,0,1,A,Steve Dunn,13.0,8.0,3.0,1.0,0.0,0.0
2794,2000-2001_Middlesbrough_Leicester,2000-2001,13,2000-11-18,Middlesbrough,Leicester,0,3,A,Alan Wiley,8.0,12.0,3.0,1.0,0.0,0.0
